label,message
spam,upgrdcentre orange customer you may now claim your free camera phone upgrade for your loyalty call now on offer ends july t c s apply opt out available
ham,but you dint in touch with me
spam,call germany for only pence per minute call from a fixed line via access number no prepayment direct access
ham,only saturday and sunday holiday so its very difficult
ham,ya going for restaurant
ham,hi i m sorry i missed your call can you pls call back
ham,come around lt decimal gt pm vikky i m otside nw il come by tht time
ham,tell her i said eat shit
ham,okie
ham,sir i need axis bank account no and bank address
ham,wat time u finish ur lect today
ham,haha figures well i found the piece and priscilla s bowl
ham,just gettin a bit arty with my collages at the mo well tryin ne way got a roast in a min lovely i shall enjoy that
ham,watching tv now i got new job
ham,my love how come it took you so long to leave for zaher s i got your words on ym and was happy to see them but was sad you had left i miss you
ham,thanx u r a goodmate i think ur rite sary asusual u cheered me up love u franyxxxxx
ham,dear take care i am just reaching home love u a lot
ham,response is one of d powerful weapon occupy a place in others heart so always give response who cares u gud night swt dreams take care
ham,well i will watch shrek in b
ham,can you please ask macho what his price range is does he want something new or used plus it he only interfued in the blackberry bold lt gt or any bb
ham,if we hit it off you can move in with me
spam,well done your costa del sol holiday or await collection call now toclaim sae tcs stockport cost pm
ham,sorry i cant take your call right now it so happens that there r do wat you want she can come and ill get her medical insurance and she ll be able to deliver and have basic care i m currently shopping for the right medical insurance for her so just give me til friday morning thats when i ll see the major person that can guide me to the right insurance
ham,one of best dialogue in cute reltnship wen i die dont come near my body bcoz my hands may not come wipe ur tears off that time gud
ham,hiya had a good day have you spoken to since the weekend
ham,call me when u re done
ham,right on brah see you later
spam,uk break accommodationvouchers terms conditions apply claim you mustprovide your claim number which is
ham,how much are we getting
ham,alrite
ham,he has lots of used ones babe but the model doesn t help youi have to bring it over and he ll match it up
ham,wat time finish
ham,i tagged my friends that you seemed to count as your friends
ham,s but mostly not like that
ham,can i please come up now imin town dontmatter if urgoin just reallyneed please dontplease dontignore mycalls u no thecd isv important tome
ham,uncle boye i need movies oh guide me plus you know torrents are not particularly legal here and the system is slowing down what should i do have a day plus have you started cos i dont meet you online how was the honey moon
ham,i am on the way to ur home
ham,she s borderline but yeah whatever
ham,buy one egg for me da please
ham,dizzamn aight i ll ask my suitemates when i get back
ham,got c i lazy to type i forgot in lect i saw a pouch but like not v nice
ham,come round it s
spam,great new offer double mins double txt on best orange tariffs and get latest camera phones free call free on now or t cs
spam,for your chance to win a free bluetooth headset then simply reply back with adp
ham,draw va i dont think so
ham,best line said in love i will wait till the day i can forget u or the day u realize that u cannot forget me gn
spam,u can win of music gift vouchers every week starting now txt the word draw to tscs www idew com skillgame
ham,good evening sir al salam wahleykkum sharing a happy news by the grace of god i got an offer from tayseer tissco and i joined hope you are fine inshah allah meet you sometime rakhesh visitor from india
ham,ok
ham,yetunde i m sorry but moji and i seem too busy to be able to go shopping can you just please find some other way to get what you wanted us to get please forgive me you can reply free via yahoo messenger
ham,gud mrng dear have a nice day
spam,urgent call from your landline your complimentary ibiza holiday or cash await collection sae t cs po box ppm
ham,did you show him and wot did he say or could u not c him dust
spam,how come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night
ham,r we still meeting dinner tonight
spam,yes the only place in town to meet exciting adult singles is now in the uk txt chat to now msg
ham,i ll meet you in the lobby
ham,ola would get back to you maybe not today but i ve told him you can be his direct link in the us in getting cars he bids for online you arrange shipping and you get a cut or u for a partnership where u invest money for shipping and he takes care of the rest u wud b self reliant soon dnt worry
ham,hey babe sorry i didn t get sooner gary can come and fix it cause he thinks he knows what it is but he doesn t go as far a ptbo and he says it will cost lt gt bucks i don t know if it might be cheaper to find someone there we don t have any second hand machines at all right now let me know what you want to do babe
ham,yeah but which is worse for i
spam,from www applausestore com monthlysubscription msg month t csc web txt stop
ham,doing nothing then u not having dinner w us
spam,please call our customer service representative on between as you have won a guaranteed cash or prize
spam,please call our customer service representative on freephone between as you have won a guaranteed cash or prize
ham,today am going to college so am not able to atten the class
ham,sitting ard nothing to do lor u leh busy w work
ham,i meant middle left or right
ham,enjoy the showers of possessiveness poured on u by ur loved ones bcoz in this world of lies it is a golden gift to be loved truly
ham,reverse is cheating that is not mathematics
ham,not yet chikku wat abt u
ham,k jason says he s gonna be around so i ll be up there around lt gt
ham,a lot of this sickness thing going round take it easy hope u feel better soon lol
spam,themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to
ham,yavnt tried yet and never played original either
ham,mmm fuck merry christmas to me
ham,i m fine hope you are good do take care
ham,ok every night take a warm bath drink a cup of milk and you ll see a work of magic you still need to loose weight just so that you know
ham,hey anyway i have to
spam,congratulations in this week s competition draw u have won the prize to claim just call t cs stop sms over only
ham,hard but true how much you show amp express your love to someone that much it will hurt when they leave you or you get seperated evening
ham,came to look at the flat seems ok in his is away alot wiv work got woman coming at too
spam,u can win of music gift vouchers every week starting now txt the word draw to tscs www idew com skillgame
ham,an amazing quote sometimes in life its difficult to decide whats wrong a lie that brings a smile or the truth that brings a tear
ham,it should take about lt gt min
ham,ya ok vikky vl c witin lt gt mins and il reply u
ham,i m an actor when i work i work in the evening and sleep late since i m unemployed at the moment i always sleep late when you re unemployed every day is saturday
ham,as i entered my cabin my pa said happy b day boss i felt special she askd me lunch after lunch she invited me to her apartment we went there
ham,change again it s e one next to escalator
ham,aathi where are you dear
ham,my parents my kidz my friends n my colleagues all screaming surprise and i was waiting on the sofa naked
ham,i m not she lip synced with shangela
ham,the message sent is askin for lt gt dollars shoul i pay lt gt or lt gt
ham,captain vijaykanth is doing comedy in captain tv he is drunken
ham,easy ah sen got selected means its good
ham,poor girl can t go one day lmao
ham,s if we have one good partnership going we will take lead
spam,interflora it s not too late to order interflora flowers for christmas call to place your order before midnight tomorrow
ham,really i tot ur paper ended long ago but wat u copied jus now got use u happy lar i still haf study
spam,todays voda numbers ending with are selected to receive a reward if you have a match please call quoting claim code standard rates apply
spam,do you want a new video handset anytime any network mins half price line rental camcorder reply or call for delivery tomorrow
ham,neva mind it s ok
ham,me also da i feel yesterday night wait til night dear
ham,sorry i ll call later
ham,y de asking like this
ham,hi i won t b ard christmas but do enjoy n merry x mas
ham,yetunde i m in class can you not run water on it to make it ok pls now
ham,okie
ham,single line with a big meaning miss anything ur best life but don t miss ur best life for anything gud nyt
ham,hi juan im coming home on fri hey of course i expect a welcome party and lots of presents ill phone u when i get back loads of love nicky x x x x x x x x x
ham,nah i m a perpetual dd
ham,ok i msg u i leave my house
ham,i don t know but i m raping dudes at poker
spam,you have new voicemail please call
ham,there is no sense in my foot and penis
spam,double mins and txts free bluetooth on orange available on sony nokia motorola phones call on or
ham,wah lucky man then can save money hee
ham,hi chikku send some nice msgs
ham,after the drug she will be able to eat
ham,are you plans with your family set in stone
ham,r u over scratching it
ham,stupid its not possible
ham,lol i know hey someone did a great inpersonation of flea on the forums i love it
ham,who are you seeing
ham,life style garments account no please
ham,i m in office now i will call you lt gt min
ham,lor change suntec wat time u coming
ham,ya but it cant display internal subs so i gotta extract them
ham,what makes you most happy
ham,will you like to be spoiled
ham,which channel
ham,so u workin overtime nigpun
ham,you tell what happen dont behave like this to me ok no need to say
ham,i went to project centre
ham,
ham,but your not here
ham,yup i thk cine is better cos no need go down plaza mah
ham,raji pls do me a favour pls convey my birthday wishes to nimya pls today is her birthday
ham,i want to show you the world princess how about europe
ham,hey u still at the gym
spam,gent we are trying to contact you last weekends draw shows that you won a prize guaranteed call claim code valid only
ham,none nowhere ikno doesdiscount shitinnit
ham,do we have any spare power supplies
ham,what happen dear tell me
ham,having lunch you are not in online why
ham,que pases un buen tiempo or something like that
ham,i get out of class in bsn in like lt gt minutes you know where advising is
ham,yup but not studying surfing lor i m in e lazy mode today
ham,yar else i ll thk of all sorts of funny things
ham,i m eatin now lor but goin back to work soon e mountain deer show huh i watch liao very nice
ham,will do you gonna be at blake s all night i might be able to get out of here a little early
ham,pass dis to all ur contacts n see wat u get red i m in luv wid u blue u put a smile on my face purple u r realy hot pink u r so swt orange i thnk i lyk u green i realy wana go out wid u yelow i wnt u bck black i m jealous of u brown i miss you nw plz giv me one color
ham,i think steyn surely get one wicket
ham,yar he quite clever but aft many guesses lor he got ask me bring but i thk darren not so willing go aiya they thk leona still not attach wat
ham,hey i missed you tm of last night as my phone was on the charge smiles i am meeting a friend shortly
ham,i m always looking for an excuse to be in the city
ham,i had been hoping i would not have to send you this message my rent is due and i dont have enough for it my reserves are completely gone its a loan i need and was hoping you could her the balance is lt gt is there a way i could get that from you till mid march when i hope to pay back
ham,gumby s has a special where a lt gt cheese pizza is so i know what we re doin tonight
ham,do whatever you want you know what the rules are we had a talk earlier this week about what had to start happening you showing responsibility yet every week it s can i bend the rule this way what about that way do whatever i m tired of having thia same argument with you every week and a lt gt movie doesnt inlude the previews you re still getting in after
ham,hmmm mayb can try e shoppin area one but forgot e name of hotel
ham,dude u knw also telugu thts gud k gud nyt
spam,this is the attempt to contract u you have won this weeks top prize of either cash or prize just call
ham,all sounds good fingers makes it difficult to type
ham,waaaat lololo ok next time then
ham,can you do a mag meeting this avo at some point
ham,hui xin is in da lib
ham,shall i come to get pickle
spam,you won t believe it but it s true it s incredible txts reply g now to learn truly amazing things that will blow your mind from only txt
ham,oh ho is this the first time u use these type of words
ham,yup
ham,in e msg jus now u said thanks for gift
ham,dunno y u ask me
