,label,message
158,ham,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of me are you missing me
159,spam,customer service annoncement you have a new years delivery waiting for you please call now to arrange delivery
160,spam,you are a winner u have been specially selected receive cash or a holiday flights inc speak to a live operator claim
161,ham,keep yourself safe for me because i need you and i miss you already and i envy everyone that see s you in real life
162,ham,new car and house for my parents i have only new job in hand
163,ham,i m so in love with you i m excited each day i spend with you you make me so happy
164,spam,pls stop bootydelious f is inviting you to be her friend reply yes or no see her www sms ac u bootydelious stop send stop frnd to
165,spam,bangbabes ur order is on the way u should receive a service msg download ur content if u do not goto wap bangb tv on ur mobile internet service menu
166,ham,i place all ur points on e cultures module already
167,spam,urgent we are trying to contact you last weekends draw shows that you have won a prize guaranteed call claim code valid only
168,ham,hi frnd which is best way to avoid missunderstding wit our beloved one s
169,ham,great escape i fancy the bridge but needs her lager see you tomo
170,ham,yes it completely in out of form clark also utter waste
171,ham,sir i need axis bank account no and bank address
172,ham,hmmm thk sure got time to hop ard ya can go free abt muz call u to discuss liao
173,ham,what time you coming down later
174,ham,bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m
175,ham,well i m gonna finish my bath now have a good fine night
176,ham,let me know when you ve got the money so carlos can make the call
177,ham,u still going to the mall
178,ham,turns out my friends are staying for the whole show and won t be back til lt gt so feel free to go ahead and smoke that lt gt worth
179,ham,text her if she doesnt reply let me know so i can have her log in
180,ham,hi you just spoke to maneesha v we d like to know if you were satisfied with the experience reply toll free with yes or no
181,ham,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a weekend
182,ham,lol no u can trust me
183,ham,ok i am a gentleman and will treat you with dignity and respect
184,ham,he will you guys close
185,ham,going on nothing great bye
186,ham,hello handsome are you finding that job not being lazy working towards getting back that net for mummy where s my boytoy now does he miss me
187,ham,haha awesome be there in a minute
188,spam,please call our customer service representative on freephone between as you have won a guaranteed cash or prize
189,ham,have you got xmas radio times if not i will get it now
190,ham,i jus reached home i go bathe first but my sis using net tell u when she finishes k
191,spam,are you unique enough find out from august www areyouunique co uk
192,ham,i m sorry i ve joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week
193,ham,hi finally i completed the course
194,ham,it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool
195,ham,how are you doing hope you ve settled in for the new school year just wishin you a day
196,ham,gud mrng dear hav a nice day
197,ham,did u got that persons story
198,ham,is your hamster dead hey so tmr i meet you at orchard mrt
199,ham,hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx
200,ham,found it enc lt gt where you at
201,ham,i sent you lt gt bucks
202,ham,hello darlin ive finished college now so txt me when u finish if u can love kate xxx
203,ham,your account has been refilled successfully by inr lt decimal gt your keralacircle prepaid account balance is rs lt decimal gt your transaction id is kr lt gt
204,ham,goodmorning sleeping ga
205,ham,u call me alter at ok
206,ham,say until like dat i dun buy ericsson oso cannot oredi lar
207,ham,as i entered my cabin my pa said happy b day boss i felt special she askd me lunch after lunch she invited me to her apartment we went there
208,ham,aight yo dats straight dogg
209,ham,you please give us connection today itself before lt decimal gt or refund the bill
210,ham,both i shoot big loads so get ready
211,ham,what s up bruv hope you had a great break do have a rewarding semester
212,ham,home so we can always chat
213,ham,k k good study well
214,ham,yup how noe leh
215,ham,sounds great are you home now
216,ham,finally the match heading towards draw as your prediction
217,ham,tired i haven t slept well the past few nights
218,ham,easy ah sen got selected means its good
219,ham,i have to take exam with march
220,ham,yeah you should i think you can use your gt atm now to register not sure but if there s anyway i can help let me know but when you do be sure you are ready
221,ham,ok no prob take ur time
222,ham,there is os called ubandu which will run without installing in hard disk you can use that os to copy the important files in system and give it to repair shop
223,ham,sorry i ll call later
224,ham,u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh
225,spam,new mobiles from must go txt nokia to no collect yours today from only www tc biz
226,ham,would really appreciate if you call me just need someone to talk to
227,spam,will u meet ur dream partner soon is ur career off a flyng start find out free txt horo followed by ur star sign e g horo aries
228,ham,hey company elama po mudyadhu
229,ham,life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning
230,ham,dear good morning now only i am up
231,ham,get down in gandhipuram and walk to cross cut road right side lt gt street road and turn at first right
232,ham,dear we are going to our rubber place
233,ham,sorry battery died yeah i m here
234,ham,yes here tv is always available in work place
235,spam,text meet someone sexy today u can find a date or even flirt its up to u join just reply with name age eg sam msg recd thirtyeight pence
236,ham,i have printed it oh so lt gt come upstairs
237,ham,or ill be a little closer like at the bus stop on the same street
238,ham,where are you when wil you reach here
239,ham,new theory argument wins d situation but loses the person so dont argue with ur friends just kick them amp say i m always correct
240,spam,u have a secret admirer who is looking make contact with u find out who they r reveal who thinks ur so special call on
241,ham,tomarrow final hearing on my laptop case so i cant
242,ham,pleassssssseeeeee tel me v avent done sportsx
243,ham,okay no no just shining on that was meant to be signing but that sounds better
244,ham,although i told u dat i m into baig face watches now but i really like e watch u gave cos it s fr u thanx everything dat u ve done today i m touched
245,ham,u don t remember that old commercial
246,ham,too late i said i have the website i didn t i have or dont have the slippers
247,ham,i asked you to call him now ok
248,ham,kallis wont bat in innings
249,ham,it didnt work again oh ok goodnight then i ll fix and have it ready by the time you wake up you are very dearly missed have a good night sleep
250,spam,congratulations ur awarded of cd vouchers or guaranteed free entry wkly draw txt music to tncs www ldew
251,ham,ranjith cal drpd deeraj and deepak hold
252,ham,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da
253,ham,what you doing how are you
254,ham,ups which is also and the shipping company that takes the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff
255,ham,i m back lemme know when you re ready
256,ham,don t necessarily expect it to be done before you get back though because i m just now headin out
257,ham,mmm so yummy babe nice jolt to the suzy
258,ham,where are you lover i need you
259,spam,we tried to contact you re your reply to our offer of a video handset anytime networks mins unlimited text camcorder reply or call now
260,ham,i m parked next to a mini when are you coming in today do you think
261,ham,yup
262,ham,anyway i m going shopping on my own now cos my sis not done yet dun disturb u liao
263,ham,my no in luton ring me if ur around h
264,spam,hey i am really horny want to chat or see me naked text hot to text charged at to unsubscribe text stop
265,ham,why you dint come with us
266,ham,same wana plan a trip sometme then
267,ham,not sure yet still trying to get a hold of him
268,spam,ur ringtone service has changed free credits go to com to choose content now stop txt club stop to wk po
269,ham,the evo i just had to download flash jealous
270,spam,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge
271,ham,come to mu we re sorting out our narcotics situation
272,ham,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay
273,spam,hmv bonus special pounds of genuine hmv vouchers to be won just answer easy questions play now send hmv to more info www real com
274,ham,usf i guess might as well take car
275,ham,no objection my bf not coming
276,ham,thanx
277,ham,tell rob to mack his gf in the theater
278,ham,awesome i ll see you in a bit
279,ham,just sent it so what type of food do you like
280,ham,all done all handed in celebrations in full swing yet
281,ham,you got called a tool
282,ham,wen u miss someone the person is definitely special for u but if the person is so special why to miss them just keep in touch gdeve
283,ham,ok i asked for money how far
284,ham,okie
285,ham,yeah i think my usual guy s still passed out from last night if you get ahold of anybody let me know and i ll throw down
286,ham,k i might come by tonight then if my class lets out early
287,ham,ok
288,ham,hi baby im cruisin with my girl friend what r u up give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
289,ham,my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge
290,ham,dear shall mail tonite busy in the street shall update you tonite things are looking ok varunnathu edukkukayee raksha ollu but a good one in real sense
291,ham,hey you told your name to gautham ah
292,ham,haf u found him i feel so stupid da v cam was working
293,ham,oops got that bit
294,ham,are you this much buzy
295,ham,i accidentally deleted the message resend please
296,spam,t mobile customer you may now claim your free camera phone upgrade a pay go sim card for your loyalty call on offer ends t c s apply
297,ham,unless it s a situation where you go gurl would be more appropriate
298,ham,hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl
299,ham,i cant pick the phone right now pls send a message
300,ham,need a coffee run tomo can t believe it s that time of week already
301,ham,awesome i remember the last time we got somebody high for the first time with diesel v
302,ham,shit that is really shocking and scary cant imagine for a second def up for night out do u think there is somewhere i could crash for night save on taxi
303,ham,oh and by the way you do have more food in your fridge want to go out for a meal tonight
304,ham,he is a womdarfull actor
305,spam,sms ac blind date is m from aberdeen united kingdom check him out http img sms ac w no blind dates send hide
306,ham,yup from what i remb i think should be can book
307,ham,jos ask if u wana meet up
308,ham,lol yes our friendship is hanging on a thread cause u won t buy stuff
309,spam,themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to
310,ham,where are the garage keys they aren t on the bookshelf
311,ham,today is accept day u accept me as brother sister lover lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
312,spam,think ur smart win this week in our weekly quiz text play to now t cs winnersclub po box week
313,ham,he says he ll give me a call when his friend s got the money but that he s definitely buying before the end of the week
314,ham,hi the way i was with u is the normal way this is the real me ur unique i hope i know u the rest of mylife hope u find wot was lost
315,ham,you made my day do have a great day too
316,ham,k k advance happy pongal
317,ham,hmmm guess we can go kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao
318,ham,not really dude have no friends i m afraid
319,spam,december only had your mobile you are entitled to update to the latest colour camera mobile for free call the mobile update co free on
320,ham,coffee cake i guess
321,ham,merry christmas to you too babe i love ya kisses
322,ham,hey why dont we just go watch x men and have lunch haha
323,ham,cud u tell ppl im gona b a bit cos buses hav gon past cos they were full im still waitin pete x
324,ham,that would be great we ll be at the guild could meet on bristol road or somewhere will get in touch over weekend our plans take flight have a good week
325,ham,no problem how are you doing
326,ham,no calls messages missed calls
327,ham,hi da how is the todays class
328,ham,i d say that s a good sign but well you know my track record at reading women
329,ham,cool text me when you re parked
330,ham,i m reading the text i just sent you its meant to be a joke so read it in that light
331,ham,k k apo k good movie
332,ham,maybe i could get book out tomo then return it immediately or something
333,spam,call germany for only pence per minute call from a fixed line via access number no prepayment direct access
334,ham,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer s paperwork not cool at all please do not contact me again or i will report you to your supervisor
335,spam,valentines day special win over in our quiz and take your partner on the trip of a lifetime send go to now msg rcvd custcare
336,ham,ta daaaaa i am home babe are you still up
337,ham,cool so how come you havent been wined and dined before
338,ham,just sleeping and surfing
339,ham,sorry i ll call later
340,ham,u calling me right call my hand phone
341,ham,ok that s great thanx a lot
342,ham,i take it the post has come then you must have of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him
343,ham,where u been hiding stranger
344,ham,am not interested to do like that
345,ham,my sister cleared two round in birla soft yesterday
346,ham,gudnite tc practice going on
347,ham,dis is yijue i jus saw ur mail in case huiming havent sent u my num dis is my num
348,ham,one small prestige problem now
349,spam,fancy a shag i do interested sextextuk com txt xxuk suzy to txts cost per msg tncs on website x
350,ham,just checking in on you really do miss seeing jeremiah do have a great month
351,ham,nah can t help you there i ve never had an iphone
352,ham,if you re not in my car in an hour and a half i m going apeshit
353,ham,today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz just slap urself bcoz its ur fault i m basically good
354,ham,yo you guys ever figure out how much we need for alcohol jay and i are trying to figure out how much we can safely spend on weed
355,ham,lt gt ish minutes was minutes ago wtf
356,ham,thank you for calling forgot to say happy onam to you sirji i am fine here and remembered you when i met an insurance person meet you in qatar insha allah rakhesh ex tata aig who joined tissco tayseer
357,spam,congratulations ur awarded of cd vouchers or guaranteed free entry wkly draw txt music to tncs www ldew
358,spam,ur cash balance is currently pounds to maximize ur cash in now send cash to only msg cc hg row
359,ham,i m an actor when i work i work in the evening and sleep late since i m unemployed at the moment i always sleep late when you re unemployed every day is saturday
360,ham,hello just got here st andrews boy its a long way its cold i will keep you posted
361,ham,ha ha cool cool chikku chikku db
362,ham,oh ok no prob
363,ham,check audrey s status right now
364,ham,busy here trying to finish for new year i am looking forward to finally meeting you
365,ham,good afternoon sunshine how dawns that day are we refreshed and happy to be alive do we breathe in the air and smile i think of you my love as always
366,ham,well i know z will take care of me so no worries
367,spam,xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt on orange call on or
368,spam,here is your discount code to stop further messages reply stop www regalportfolio co uk customer services
369,ham,wat uniform in where get
370,ham,cool text me when you re ready
371,ham,hello my boytoy geeee i miss you already and i just woke up i wish you were here in bed with me cuddling me i love you
372,ham,i will spoil you in bed as well
373,ham,i m going for bath will msg you next lt gt min
374,ham,i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay
375,spam,thanks for your ringtone order reference you will be charged gbp per week you can unsubscribe at anytime by calling customer services on
376,ham,can you say what happen
377,ham,you could have seen me i did t recognise you face
378,ham,well there s not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going
379,ham,keep my payasam there if rinu brings
380,ham,i taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me
381,ham,i guess that s why you re worried you must know that there s a way the body repairs itself and i m quite sure you shouldn t worry we ll take it slow first the tests they will guide when your ovulation is then just relax nothing you ve said is a reason to worry but i ll keep on followin you up
382,ham,yeah sure give me a couple minutes to track down my wallet
383,ham,hey leave it not a big deal take care
384,ham,hey i will be late ah meet you at
385,spam,double mins and txts free bluetooth on orange available on sony nokia motorola phones call on or
386,ham,it took mr owl licks
387,ham,customer place i will call you
388,ham,mm that time you dont like fun
389,spam,half price orange line rental latest camera phones free had your phone call mobilesdirect free on to update now
390,ham,yup having my lunch buffet now u eat already
391,ham,huh so late fr dinner
392,ham,hey so this sat are we going for the intro pilates only or the kickboxing too
393,ham,morning only i can ok
394,ham,yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down
395,ham,pick you up bout what time are and that going
396,ham,from here after the performance award is calculated every two month not for current one month period
397,ham,was actually sleeping and still might when u call back so a text is you rock sis will send u a text wen i wake
398,ham,you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people i ve ever met why would i think a picture of your room would hurt you make you feel violated
399,ham,good evening sir al salam wahleykkum sharing a happy news by the grace of god i got an offer from tayseer tissco and i joined hope you are fine inshah allah meet you sometime rakhesh visitor from india
400,ham,hmmm k but i want to change the field quickly da i wanna get system administrator or network administrator
401,spam,free ringtone text first to for a poly or text get to for a true tone help after free tones are to e nd txt stop
402,ham,dear how is chechi did you talk to her
403,ham,the hair cream has not been shipped
404,ham,none of that s happening til you get here though
405,ham,yep the great loxahatchee xmas tree burning of lt gt starts in an hour
406,ham,haha get used to driving to usf man i know a lot of stoners
407,ham,all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as can t stay late tomorrow same time place as always
408,ham,hello good week fancy a drink or something later
409,ham,headin towards busetop
410,ham,message some text missing sender name missing number missing sent date missing missing u a lot thats y everything is missing sent via fullonsms com
411,ham,come by our room at some point so we can iron out the plan for this weekend
412,ham,cos i want it to be your thing
413,ham,okies i ll go yan jiu too we can skip ard oso go cine den go mrt one blah blah blah
414,ham,bring home some wendy d
415,spam,dating service cal l
416,ham,whatsup there dont u want to sleep
417,ham,alright i have a new goal now
418,spam,free entry into our weekly competition just text the word win to now t c www txttowin co uk
419,ham,alright i ll head out in a few minutes text me where to meet you
420,spam,send a logo ur lover names joined by a heart txt love mobno eg love adam eve to yahoo txtno no ads
421,ham,yes from last week itself i m taking live call
422,spam,someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline
423,ham,siva is in hostel aha
424,spam,urgent your mobile number has been awarded with a prize guaranteed call from land line claim valid only
425,ham,send this to ur friends and receive something about ur voice how is my speaking expression childish naughty sentiment rowdy ful of attitude romantic shy attractive funny lt gt irritating lt gt lovable reply me
426,ham,ok she ll be ok i guess
427,ham,aathi where are you dear
428,ham,any pain on urination any thing else
429,ham,at esplanade do mind giving me a lift cos i got no car today
430,ham,i wnt to buy a bmw car urgently its vry urgent but hv a shortage of lt gt lacs there is no source to arng dis amt lt gt lacs thats my prob
431,ham,at home watching tv lor
432,ham,does she usually take fifteen fucking minutes to respond to a yes or no question
433,spam,congrats nokia video camera phone is your call calls cost ave call vary from mobiles close post ldn
434,ham,booked ticket for pongal
435,ham,you available now i m like right around hillsborough amp lt gt th
436,ham,the message sent is askin for lt gt dollars shoul i pay lt gt or lt gt
437,ham,ask g or iouri i ve told the story like ten times already
438,ham,how long does applebees fucking take
439,ham,hi hope u get this txt journey hasnt been gd now about mins late i think
440,ham,but i have to i like to have love and arrange
441,ham,yes he is really great bhaji told kallis best cricketer after sachin in world very tough to get out
442,ham,you were supposed to wake me up gt
443,ham,oic i saw him too but i tot he din c me i found a group liao
444,ham,sorry i ll call later
445,ham,hey hey werethe monkeespeople say we monkeyaround howdy gorgeous howu doin foundurself a jobyet sausage love jen xxx
446,ham,sorry my battery died i can come by but i m only getting a gram for now where s your place
447,ham,well done blimey exercise yeah i kinda remember wot that is hmm
448,ham,i wont get concentration dear you know you are my mind and everything
449,ham,lol have you made plans for new years
450,ham,min later k
451,ham,hanks lotsly
452,ham,thanks for this hope you had a good day today
453,ham,k k what are detail you want to transfer acc no enough
454,ham,ok i will tell her to stay out yeah its been tough but we are optimistic things will improve this month
455,spam,loan for any purpose homeowners tenants welcome have you been previously refused we can still help call free or text back help
456,ham,si si i think ill go make those oreo truffles
457,ham,look at amy ure a beautiful intelligent woman and i like u a lot i know u don t like me like that so don t worry
458,ham,i hope you that s the result of being consistently intelligent and kind start asking him about practicum links and keep your ears open and all the best ttyl
459,ham,that call cost which i guess isnt bad miss ya need ya want ya love ya
460,ham,going thru a very different feeling wavering decisions and coping up with the same is the same individual time will heal everything i believe
461,ham,where did u go my phone is gonna die you have to stay in here
462,ham,great never been better each day gives even more reasons to thank god
463,spam,upgrdcentre orange customer you may now claim your free camera phone upgrade for your loyalty call now on offer ends july t c s apply opt out available
